cell_id,initial_voltage,initial_impedance,v42_voltage,v42_impedance,capacity
BS-LSBAT-S240629-0146,3.457,10.96,4.18,10.43,5.035
BS-LSBAT-S240629-0147,3.457,10.95,4.18,10.31,5.0404
BS-LSBAT-S240629-0148,3.457,10.99,4.18,10.58,5.0358
BS-LSBAT-S240629-0149,3.457,11.11,4.18,10.61,5.0123
BS-LSBAT-S240629-0150,3.457,11.18,4.18,10.58,5.0197
BS-LSBAT-S240629-0151,3.457,10.97,4.18,10.5,5.0183
BS-LSBAT-S240629-0152,3.457,11.02,4.18,10.41,5.0126
BS-LSBAT-S240629-0153,3.457,11.34,4.18,10.53,5.0431
BS-LSBAT-S240629-0154,3.457,11.02,4.18,10.51,5.0259
BS-LSBAT-S240629-0155,3.457,10.96,4.18,10.65,5.0452
BS-LSBAT-S240629-0156,3.457,11.16,4.18,10.49,5.0186
BS-LSBAT-S240629-0157,3.457,11.03,4.18,10.34,5.0236
BS-LSBAT-S240629-0158,3.457,11.15,4.18,10.4,5.0163
BS-LSBAT-S240629-0159,3.457,11.49,4.18,10.69,5.0039
BS-LSBAT-S240629-0160,3.457,10.91,4.18,10.58,5.0088
BS-LSBAT-S240629-0161,3.457,11.06,4.18,10.55,5.0196
BS-LSBAT-S240629-0162,3.457,11.1,4.18,10.6,5.0176
BS-LSBAT-S240629-0163,3.457,11.17,4.18,10.43,5.0138
BS-LSBAT-S240629-0164,3.457,10.75,4.18,10.28,5.0289
BS-LSBAT-S240629-0165,3.457,11.27,4.18,10.54,5.0285
BS-LSBAT-S240629-0166,3.457,11.25,4.18,10.62,5.0358
BS-LSBAT-S240629-0167,3.457,10.9,4.18,10.52,5.04
BS-LSBAT-S240629-0168,3.457,11.13,4.18,10.55,5.031
BS-LSBAT-S240629-0169,3.457,11.09,4.18,10.57,5.0127
BS-LSBAT-S240629-0170,3.457,10.86,4.18,10.42,5.0281
BS-LSBAT-S240629-0171,3.457,11.11,4.18,10.69,5.0378
BS-LSBAT-S240629-0172,3.457,11.0,4.18,10.59,5.0281
BS-LSBAT-S240629-0173,3.457,11.19,4.18,10.55,5.0144
BS-LSBAT-S240629-0174,3.457,10.92,4.18,10.52,5.0247
BS-LSBAT-S240629-0175,3.457,11.22,4.18,10.43,5.0272
BS-LSBAT-S240629-0176,3.457,11.27,4.18,10.57,5.028
BS-LSBAT-S240629-0177,3.457,11.27,4.19,10.52,5.0351
BS-LSBAT-S240629-0178,3.457,11.19,4.18,10.58,5.0263
BS-LSBAT-S240629-0179,3.457,11.19,4.18,10.59,5.0301
BS-LSBAT-S240629-0180,3.457,11.13,4.18,10.56,5.0287
BS-LSBAT-S240629-0181,3.457,11.02,4.18,10.62,5.0275
BS-LSBAT-S240629-0182,3.457,11.32,4.18,10.65,5.0335
BS-LSBAT-S240629-0183,3.457,11.01,4.19,10.47,5.0222
BS-LSBAT-S240629-0184,3.457,11.12,4.18,10.48,5.0202
BS-LSBAT-S240629-0185,3.457,11.16,4.18,10.48,5.0171
BS-LSBAT-S240629-0186,3.456,11.14,4.18,10.48,5.0225
BS-LSBAT-S240629-0187,3.457,11.21,4.18,10.59,5.0337
BS-LSBAT-S240629-0188,3.457,11.26,4.18,10.64,5.0313
BS-LSBAT-S240629-0189,3.457,11.2,4.18,10.6,5.019
BS-LSBAT-S240629-0190,3.457,10.92,4.18,10.49,5.0254
BS-LSBAT-S240629-0191,3.457,11.03,4.18,10.5,5.0297
BS-LSBAT-S240629-0192,3.457,11.41,4.18,10.66,5.0154
BS-LSBAT-S240629-0193,3.457,11.27,4.18,10.62,5.0193
BS-LSBAT-S240629-0194,3.457,11.04,4.18,10.45,5.0297
BS-LSBAT-S240629-0195,3.457,11.23,4.18,10.73,5.0245
BS-LSBAT-S240629-0196,3.457,11.06,4.19,10.63,5.0436
BS-LSBAT-S240629-0197,3.457,11.13,4.18,10.68,5.0444
BS-LSBAT-S240629-0198,3.457,11.24,4.18,10.6,5.0467
BS-LSBAT-S240629-0199,3.457,11.16,4.18,10.63,5.0369
BS-LSBAT-S240629-0200,3.457,10.85,4.18,10.51,5.0374
BS-LSBAT-S240629-0201,3.457,11.04,4.19,10.72,5.0404
BS-LSBAT-S240629-0202,3.457,10.98,4.18,10.47,5.0386
BS-LSBAT-S240629-0203,3.457,11.18,4.18,10.75,5.0374
BS-LSBAT-S240629-0204,3.457,10.98,4.18,10.61,5.0258
